scenario,mode,attempts,retries,tokens_wasted
capability-contract-violation,no_substrate,2,1,126
capability-contract-violation,substrate,2,1,126
capability-contract-violation-expected-allow,no_substrate,1,0,0
capability-contract-violation-expected-allow,substrate,1,0,0
memory-drift,no_substrate,2,1,122
memory-drift,substrate,2,1,122
memory-drift-expected-allow,no_substrate,1,0,0
memory-drift-expected-allow,substrate,1,0,0
parallel-write-conflict,no_substrate,2,1,120
parallel-write-conflict,substrate,2,1,120
parallel-write-conflict-expected-allow,no_substrate,1,0,0
parallel-write-conflict-expected-allow,substrate,1,0,0
pm-governance-approval-gate,no_substrate,3,2,454
pm-governance-approval-gate,substrate,3,2,455
pm-governance-dispatch,no_substrate,3,2,443
pm-governance-dispatch,substrate,3,2,441
source-authority-conflict,no_substrate,2,1,126
source-authority-conflict,substrate,2,1,126
source-authority-conflict-expected-allow,no_substrate,1,0,0
source-authority-conflict-expected-allow,substrate,1,0,0
stale-observation,no_substrate,2,1,120
stale-observation,substrate,2,1,120
stale-observation-expected-allow,no_substrate,1,0,0
stale-observation-expected-allow,substrate,1,0,0
workflow-invalidation,no_substrate,2,1,124
workflow-invalidation,substrate,2,1,125
workflow-invalidation-expected-allow,no_substrate,1,0,0
workflow-invalidation-expected-allow,substrate,1,0,0
